"","team1","team2","p1","pd","p2","BbAvH","BbAvD","BbAvA","data1819$result[281:380]"
"310","Man United","Watford",0.608905111056495,0.20993346478776,0.181161424155745,0.667217354646857,0.20399001925509,0.128792626098053,"H"
"311","West Ham","Everton",0.39867475303446,0.283786464472435,0.317538782493106,0.379826567151301,0.281806807886449,0.33836662496225,"A"
"312","Cardiff","Chelsea",0.107876543403556,0.197496618661474,0.69462683793497,0.118782939899907,0.214712786217282,0.666504273882812,"A"
"313","Liverpool","Tottenham",0.665788411845913,0.225531892511544,0.108679695642543,0.596549304643506,0.232553118759333,0.170897576597161,"H"
"314","Arsenal","Newcastle",0.633931380491307,0.227172205382612,0.138896414126081,0.691048696706405,0.194052058267051,0.114899245026543,"H"
"315","Watford","Fulham",0.721533148414166,0.175283162773928,0.103183688811907,0.552626607313646,0.249111475835685,0.198261916850669,"H"
"316","Wolves","Man United",0.308218779391639,0.267709653960581,0.42407156664778,0.241902136457615,0.274293590627154,0.483804272915231,"H"
"317","Chelsea","Brighton",0.668839234716095,0.214111366482506,0.1170493988014,0.761193491033474,0.165648324473606,0.0731581844929197,"H"
"318","Man City","Cardiff",0.948088149059326,0.0423688711388608,0.00954297980181285,0.909201060381448,0.0670670232431687,0.0237319163753838,"H"
"319","Tottenham","Crystal Palace",0.652725703067097,0.219914928912482,0.127359368020421,0.654587847091261,0.208729747337127,0.136682405571613,"H"
"320","Southampton","Liverpool",0.0490401116593674,0.157551932106351,0.793407956234281,0.110868980141092,0.196798107898707,0.692332911960201,"A"
"321","Bournemouth","Burnley",0.551357518095882,0.229609649243354,0.219032832660764,0.464393439787236,0.27078716066467,0.264819399548093,"A"
"322","Huddersfield","Leicester",0.145437322364003,0.302412265584561,0.552150412051436,0.191468664262872,0.252940182789373,0.555591152947755,"A"
"323","Newcastle","Crystal Palace",0.353794956865489,0.347730366899729,0.298474676234782,0.380105030163621,0.301462610129769,0.31843235970661,"A"
"324","Everton","Arsenal",0.295755127474477,0.239972573641413,0.46427229888411,0.318409174088081,0.267109918262779,0.41448090764914,"H"
"325","Chelsea","West Ham",0.620571872649256,0.229729419258742,0.149698708092002,0.7228444907528,0.1732221932795,0.1039333159677,"H"
"326","Leicester","Newcastle",0.426169798033223,0.330489094357927,0.243341107608849,0.584003515021223,0.248993746714475,0.167002738264301,"A"
"327","Brighton","Bournemouth",0.39799764152932,0.27290719916904,0.32909515930164,0.422414316966456,0.290091759844434,0.28749392318911,"A"
"328","Burnley","Cardiff",0.52845603314867,0.256011685606616,0.215532281244714,0.506195263067514,0.271686723115332,0.222118013817154,"H"
"329","Fulham","Everton",0.19498524113877,0.239306752935516,0.565708005925714,0.207304097251318,0.244228491163766,0.548467411584916,"H"
"330","Man United","West Ham",0.631973524670473,0.20980591898614,0.158220556343387,0.687027784021162,0.191220456785214,0.121751759193624,"H"
"331","Southampton","Wolves",0.288307914523155,0.300315672548231,0.411376412928614,0.371560776924995,0.305505527693885,0.32293369538112,"H"
"332","Tottenham","Huddersfield",0.851567930322308,0.119587150960582,0.0288449187171094,0.789963699533748,0.142356826208445,0.0676794742578071,"H"
"333","Crystal Palace","Man City",0.0862583571228952,0.188298828628832,0.725442814248272,0.0958075313476836,0.174748764073361,0.729443704578955,"A"
"334","Liverpool","Chelsea",0.688804819674249,0.216531210701457,0.0946639696242942,0.578333104489908,0.23704517369216,0.184621721817932,"H"
"335","Watford","Arsenal",0.305263844414353,0.235978107278925,0.458758048306722,0.30636080498323,0.257771322472448,0.435867872544322,"A"
"336","Brighton","Cardiff",0.563125071330793,0.261072290290796,0.175802638378411,0.479965192889405,0.296274810425558,0.223759996685037,"A"
"337","Bournemouth","Fulham",0.678687552190841,0.186800430890859,0.134512016918299,0.577320393553935,0.22709759556861,0.195582010877455,"A"
"338","Huddersfield","Watford",0.131063302009455,0.269021956860575,0.59991474112997,0.221136309892096,0.260089860415094,0.518773829692809,"A"
"339","Man City","Tottenham",0.66887343058257,0.204506645096755,0.126619924320675,0.749123925958307,0.158230796242019,0.0926452777996747,"H"
"340","Newcastle","Southampton",0.434253359561259,0.325638183724683,0.240108456714058,0.387644690488173,0.308127830900856,0.304227478610971,"H"
"341","West Ham","Leicester",0.409570941445074,0.294087863433036,0.29634119512189,0.305986696230599,0.277605321507761,0.416407982261641,"D"
"342","Wolves","Brighton",0.508534902773768,0.286172404647417,0.205292692578815,0.545264526917182,0.278972548655302,0.175762924427516,"D"
"343","Arsenal","Crystal Palace",0.635635462978665,0.209605147714132,0.154759389307203,0.624127561367928,0.216476676690678,0.159395761941394,"A"
"344","Cardiff","Liverpool",0.0246854333999488,0.102191766645772,0.873122799954279,0.064142239032637,0.143886644316456,0.791971116650907,"A"
"345","Everton","Man United",0.293603999509495,0.249036434098099,0.457359566392407,0.303051195428186,0.279265200438183,0.417683604133631,"H"
"346","Chelsea","Burnley",0.749831654386618,0.164648798853326,0.085519546760056,0.761490521942353,0.161256816411322,0.0772526616463256,"D"
"347","Tottenham","Brighton",0.708755571862437,0.192149211985876,0.0990952161516878,0.745234829896784,0.173843206250787,0.0809219638524286,"H"
"348","Watford","Southampton",0.558918543084125,0.248190633690255,0.19289082322562,0.427753528711524,0.280596338076073,0.291650133212403,"D"
"349","Man United","Man City",0.176517297302862,0.216169754529797,0.607312948167342,0.141119300963097,0.20257929250305,0.656301406533853,"A"
"350","Wolves","Arsenal",0.311252917795744,0.258320711453105,0.430426370751151,0.331913858133593,0.281299428154277,0.38678671371213,"H"
"351","Liverpool","Huddersfield",0.927292124790442,0.0651326535324444,0.00757522167711377,0.902495704903584,0.0709530054553149,0.0265512896411008,"H"
"352","Brighton","Newcastle",0.364632570642448,0.34377829432474,0.291589135032812,0.415759962235041,0.305861628268454,0.278378409496506,"D"
"353","Crystal Palace","Everton",0.385539494482411,0.296117202841069,0.31834330267652,0.367629098239165,0.284721645817276,0.347649255943558,"D"
"354","Fulham","Cardiff",0.409648718117861,0.276704229697957,0.313647052184181,0.404105051506851,0.269024992154842,0.326869956338306,"H"
"355","Southampton","Bournemouth",0.371482066029461,0.267085432581362,0.361432501389177,0.503173447091874,0.258349807512226,0.238476745395901,"D"
"356","Tottenham","West Ham",0.662316778493178,0.209264681673931,0.12841853983289,0.670455871131349,0.195265151877358,0.134278976991293,"A"
"357","Watford","Wolves",0.410634384438226,0.286728475299671,0.302637140262103,0.371966135078467,0.297112268886206,0.330921596035326,"A"
"358","Burnley","Man City",0.0430913719369354,0.110871531825854,0.846037096237211,0.0489765915687211,0.114162517713567,0.836860890717712,"A"
"359","Leicester","Arsenal",0.275092080393468,0.247818756345272,0.47708916326126,0.35798538581601,0.264297750409617,0.377716863774373,"H"
"360","Man United","Chelsea",0.42553365135342,0.253382372590371,0.321083976056209,0.359388278634418,0.283895474542573,0.35671624682301,"D"
"361","Everton","Burnley",0.588157901991378,0.232974284058882,0.178867813949739,0.579957720313467,0.24812624116504,0.171916038521492,"H"
"362","Bournemouth","Tottenham",0.198046312701855,0.222449226484716,0.579504460813429,0.240339058458698,0.25100684956522,0.508654091976081,"H"
"363","Cardiff","Crystal Palace",0.232452051575805,0.287946353734222,0.479601594689972,0.371483706139755,0.269507786807273,0.359008507052972,"A"
"364","Newcastle","Liverpool",0.0703900612592395,0.233809370121541,0.69580056861922,0.0967988562098561,0.192625836353348,0.710575307436796,"A"
"365","West Ham","Southampton",0.510106158654812,0.271878538426367,0.218015302918821,0.417805615944783,0.263998054031044,0.318196330024173,"H"
"366","Wolves","Fulham",0.70198529547648,0.195038905829257,0.102975798694264,0.619600317384164,0.233102061151809,0.147297621464027,"H"
"367","Arsenal","Brighton",0.69648675793574,0.183593761784711,0.11991948027955,0.68003193409139,0.204444568671399,0.115523497237212,"D"
"368","Chelsea","Watford",0.60041134113334,0.22923547563943,0.170353183227231,0.687271050541794,0.194379691062325,0.118349258395881,"H"
"369","Huddersfield","Man United",0.0710775411177967,0.182932097895681,0.745990360986522,0.0967671131910074,0.179298468575516,0.723934418233476,"D"
"370","Man City","Leicester",0.832161030125985,0.123670067807129,0.0441689020668867,0.827565065647235,0.115799213045934,0.0566357213068314,"H"
"371","Brighton","Man City",0.0651361865367626,0.159130093326409,0.775733720136828,0.0564555915569956,0.119098097257224,0.824446311185781,"A"
"372","Burnley","Arsenal",0.168004059385871,0.19497526015299,0.637020680461138,0.306105745621215,0.256997871992143,0.436896382386643,"A"
"373","Crystal Palace","Bournemouth",0.453931682096237,0.269207255544069,0.276861062359694,0.512635402971828,0.23965705088933,0.247707546138842,"H"
"374","Fulham","Newcastle",0.240060547922566,0.30733888308639,0.452600568991044,0.383509715339763,0.271607447124478,0.344882837535758,"A"
"375","Leicester","Chelsea",0.252407624044982,0.279405015024652,0.468187360930366,0.399565475014813,0.26861544538811,0.331819079597077,"D"
"376","Liverpool","Wolves",0.781544929732483,0.16774601735695,0.050709052910567,0.735757391635686,0.170192990947757,0.0940496174165577,"H"
"377","Man United","Cardiff",0.829699192488742,0.116771270488396,0.0535295370228629,0.74970813054612,0.15527935389952,0.0950125155543598,"A"
"378","Southampton","Huddersfield",0.590402884412727,0.2827994331868,0.126797682400473,0.675181985544046,0.199326074734417,0.125491939721537,"D"
"379","Tottenham","Everton",0.644799269908113,0.212690935360447,0.14250979473144,0.458875470623249,0.273233542336921,0.26789098703983,"D"
"380","Watford","West Ham",0.4650421610246,0.269969193579935,0.264988645395465,0.436169298648704,0.257258031374571,0.306572669976725,"A"
